id,name,size,ratio,orientation,output_type,reserved_area,keep_elements,remove_elements,priority,status,notes
01,电子水牌,1080x1920px,9:16,竖版,底图,上方标题区；下方地址 / 信息区,主KV风格；主色调；画面氛围,文字 / 二维码 / Logo / 箭头 / 地址,高,已确认，可生成提示词,最终确认只做底图；上方预留标题区，下方预留地址 / 信息区
02,云相册三件套1,1080x1920px,9:16,竖版,底图,标题区；二维码 / 信息区,主KV风格；主色调；画面氛围,文字 / 二维码 / Logo / 箭头 / 地址,高,已确认，可生成提示词,最终确认只做底图；预留标题和二维码 / 信息区
03,云相册三件套2,500x500px,1:1,方形,底图,中心或下方二维码 / 信息区,主KV风格；主色调；画面氛围,文字 / 二维码 / Logo / 箭头 / 地址,中,已确认，可生成提示词,最终确认只做底图；中心或下方预留二维码 / 信息区
04,云相册三件套3,2424x1242px,约1.95:1,横版,底图,横版标题区；信息区,主KV风格；主色调；画面氛围,文字 / 二维码 / Logo / 箭头 / 地址,高,已确认，可生成提示词,最终确认只做底图；按横版构图预留标题和信息区
05,手卡,A5,标准比例,横版,底图,主体信息区,主KV风格；主色调；画面氛围,文字 / 二维码 / Logo / 箭头 / 地址,中,已确认，可生成提示词,最终确认只做底图；预留主体信息区；印刷出血和安全区后续确认
06,话筒套,8x6cm,4:3,横版,底图,Logo / 标题区,主KV风格；主色调；画面氛围,文字 / 二维码 / Logo / 箭头 / 地址,中,已确认，可生成提示词,最终确认只做底图；预留Logo / 标题区但不生成Logo和文字
07,会议席卡,A4,标准比例,横版,底图,姓名 / 职位 / 单位信息区,主KV风格；主色调；画面氛围,文字 / 二维码 / Logo / 箭头 / 地址,中,已确认，可生成提示词,最终确认只做底图；预留姓名 / 职位 / 单位信息区；印刷出血和安全区后续确认
08,签到背景板,4x2.5m,8:5,横版,底图,中部签到主题区,主KV风格；主色调；画面氛围,文字 / 二维码 / Logo / 箭头 / 地址,高,已确认，可生成提示词,最终确认只做底图；中部预留签到主题区但不生成签到字
09,云摄影二维码立牌,A4,标准比例,竖版,底图,中部或下方二维码区,主KV风格；主色调；画面氛围,文字 / 二维码 / Logo / 箭头 / 地址,高,已确认，可生成提示词,最终确认只做底图；中部或下方预留二维码区；印刷出血和安全区后续确认
10,指引KT板,60x90cm,2:3,竖版,底图,文字区；箭头区,主KV风格；主色调；画面氛围,文字 / 二维码 / Logo / 箭头 / 地址,高,已确认，可生成提示词,最终确认只做底图；预留文字区和箭头区但不生成文字和箭头
11,会议日程单页,A4,标准比例,竖版,底图,日程内容区,主KV风格；主色调；画面氛围,文字 / 二维码 / Logo / 箭头 / 地址,中,已确认，可生成提示词,最终确认只做底图；预留日程内容区；印刷出血和安全区后续确认
12,倒计时牌,80x60cm,4:3,横版,底图,倒计时数字区；标题区,主KV风格；主色调；画面氛围,文字 / 二维码 / Logo / 箭头 / 地址,高,已确认，可生成提示词,最终确认只做底图；预留倒计时数字和标题区但不生成文字
13,桌号牌,10x10cm,1:1,方形,底图,桌号数字区；圆形裁切安全区,主KV风格；主色调；画面氛围,文字 / 二维码 / Logo / 箭头 / 地址,中,已确认，可生成提示词,最终确认只做底图；预留桌号数字区，保留圆形裁切安全区
14,参会证,9x13cm,9:13,竖版,底图,姓名 / 单位 / 二维码或编号区,主KV风格；主色调；画面氛围,文字 / 二维码 / Logo / 箭头 / 地址,中,已确认，可生成提示词,最终确认只做底图；预留姓名、单位、二维码或编号区
15,餐券,9x13cm,9:13,竖版,底图,餐券信息 / 编号或二维码区,主KV风格；主色调；画面氛围,文字 / 二维码 / Logo / 箭头 / 地址,中,已确认，可生成提示词,最终确认只做底图；预留餐券信息、编号或二维码区
